"No.","Time","Source","Destination","Protocol","Length","Info"
"42","3.811514000","10.0.0.2","10.0.0.1","TCP","66","57232 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=66928 TSecr=66928"
"43","3.811985000","10.0.0.2","10.0.0.1","TCP","66","57234 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=66929 TSecr=66928"
"44","3.812567000","10.0.0.2","10.0.0.1","TCP","66","57236 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=66929 TSecr=66928"
"45","3.812923000","10.0.0.2","10.0.0.1","TCP","66","57238 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=66929 TSecr=66928"
"46","3.848108000","10.0.0.2","10.0.0.1","TCP","66","57228 > irdmi [ACK] Seq=401 Ack=1763 Win=32768 Len=0 TSval=66938 TSecr=66928"
"47","3.853554000","10.0.0.2","10.0.0.1","TCP","66","57228 > irdmi [FIN, ACK] Seq=401 Ack=1763 Win=32768 Len=0 TSval=66939 TSecr=66928"
"48","3.853565000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57228 [ACK] Seq=1763 Ack=402 Win=30208 Len=0 TSval=66939 TSecr=66939"
"49","3.938489000","10.0.0.2","10.0.0.1","HTTP","433","GET /favicon.ico HTTP/1.1 "
"50","3.938520000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57230 [ACK] Seq=1 Ack=368 Win=30208 Len=0 TSval=66960 TSecr=66960"
"51","3.939579000","10.0.0.1","10.0.0.2","TCP","95","[TCP segment of a reassembled PDU]"
"52","3.939591000","10.0.0.2","10.0.0.1","TCP","66","57230 > irdmi [ACK] Seq=368 Ack=30 Win=29696 Len=0 TSval=66960 TSecr=66960"
"53","3.939601000","10.0.0.1","10.0.0.2","TCP","103","[TCP segment of a reassembled PDU]"
"54","3.939606000","10.0.0.2","10.0.0.1","TCP","66","57230 > irdmi [ACK] Seq=368 Ack=67 Win=29696 Len=0 TSval=66960 TSecr=66960"
